Indicator Name,Code,Source
Extraction Loss Shrinkage,NATURALGASINCLUDINGLNGEXTRACTIONLOSSSHRINKAGE,UN
Net Inland Availability,NATURALGASINCLUDINGLNGNETINLANDAVAILABILITY,UN
Total Plant Production,NATURALGASLIQUIDSNGLTOTALPLANTPRODUCTION,UN
Total Plant Capacity,NATURALGASLIQUIDSNGLTOTALPLANTCAPACITY,UN
Conversion To Other Forms Of Energy,NATURALGASLIQUIDSNGLCONVERSIONTOOTHERFORMSOFENERGY,UN
Production,NATURALGASLIQUIDSNGLNESPRODUCTION,UN
Production From Plants,NATURALGASLIQUIDSNGLNESPRODUCTIONFROMPLANTS,UN
Conversion In Refineries,NATURALGASLIQUIDSNGLNESCONVERSIONINREFINERIES,UN
Conversion To Other Forms Of Energy,NATURALGASLIQUIDSNGLNESCONVERSIONTOOTHERFORMSOFENERGY,UN
Production,OTHERBIOMASSANDWASTESPRODUCTION,UN
Net Inland Availability,OTHERBIOMASSANDWASTESNETINLANDAVAILABILITY,UN
Consumption By Households And Other Consumers,OTHERBIOMASSANDWASTESCONSUMPTIONBYHOUSEHOLDSANDOTHERCONSUMERS,UN
Consumption By Households,OTHERBIOMASSANDWASTESCONSUMPTIONBYHOUSEHOLDS,UN
Total Production,OTHERPETROLEUMPRODUCTSTOTALPRODUCTION,UN
Production From Refineries,OTHERPETROLEUMPRODUCTSPRODUCTIONFROMREFINERIES,UN
Changes In Stocks,OTHERPETROLEUMPRODUCTSCHANGESINSTOCKS,UN
Consumption For Non-energy Uses,OTHERPETROLEUMPRODUCTSCONSUMPTIONFORNONENERGYUSES,UN
Consumption By Industry & Construction,OTHERPETROLEUMPRODUCTSCONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Consumption By Other Industries And Construction,OTHERPETROLEUMPRODUCTSCONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Consumption By Energy Sector,OTHERPETROLEUMPRODUCTSCONSUMPTIONBYENERGYSECTOR,UN
Net Transfers,OTHERPETROLEUMPRODUCTSNETTRANSFERS,UN
Net Inland Availability,OTHERPETROLEUMPRODUCTSNETINLANDAVAILABILITY,UN
Total Production,PETROLEUMCOKETOTALPRODUCTION,UN
Production From Refineries,PETROLEUMCOKEPRODUCTIONFROMREFINERIES,UN
Changes In Stocks,PETROLEUMCOKECHANGESINSTOCKS,UN
Consumption By Industry & Construction,PETROLEUMCOKECONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Consumption By Other Industries And Construction,PETROLEUMCOKECONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Consumption By Other Industries And Construction,PETROLEUMCOKECONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Net Inland Availability,PETROLEUMCOKENETINLANDAVAILABILITY,UN
Total Production,PETROLEUMWAXESTOTALPRODUCTION,UN
Production From Refineries,PETROLEUMWAXESPRODUCTIONFROMREFINERIES,UN
Consumption For Non-energy Uses,PETROLEUMWAXESCONSUMPTIONFORNONENERGYUSES,UN
Production,REFINERYGASPRODUCTION,UN
Production From Refineries,REFINERYGASPRODUCTIONFROMREFINERIES,UN
Consumption By Energy Sector,REFINERYGASCONSUMPTIONBYENERGYSECTOR,UN
Consumption By Petroleum Refineries,REFINERYGASCONSUMPTIONBYPETROLEUMREFINERIES,UN
Conversion To Other Forms Of Energy,REFINERYGASCONVERSIONTOOTHERFORMSOFENERGY,UN
Conversion In Thermal Power Plants,REFINERYGASCONVERSIONINTHERMALPOWERPLANTS,UN
Total Production,RESIDUALFUELOILTOTALPRODUCTION,UN
Production From Refineries,RESIDUALFUELOILPRODUCTIONFROMREFINERIES,UN
Changes In Stocks,RESIDUALFUELOILCHANGESINSTOCKS,UN
Changes In Stocks At Producers,RESIDUALFUELOILCHANGESINSTOCKSATPRODUCERS,UN
Bunkers,RESIDUALFUELOILBUNKERS,UN
Conversion To Other Forms Of Energy,RESIDUALFUELOILCONVERSIONTOOTHERFORMSOFENERGY,UN
Conversion In Thermal Power Plants,RESIDUALFUELOILCONVERSIONINTHERMALPOWERPLANTS,UN
Conversion In Other Energy-producing Plants,RESIDUALFUELOILCONVERSIONINOTHERENERGYPRODUCINGPLANTS,UN
Consumption By Industry & Construction,RESIDUALFUELOILCONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Consumption By Other Industries And Construction,RESIDUALFUELOILCONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Consumption By Households And Other Consumers,RESIDUALFUELOILCONSUMPTIONBYHOUSEHOLDSANDOTHERCONSUMERS,UN
Consumption By Other Consumers,RESIDUALFUELOILCONSUMPTIONBYOTHERCONSUMERS,UN
Consumption By Energy Sector,RESIDUALFUELOILCONSUMPTIONBYENERGYSECTOR,UN
Consumption By Petroleum Refineries,RESIDUALFUELOILCONSUMPTIONBYPETROLEUMREFINERIES,UN
Consumption By Transportation Industry,RESIDUALFUELOILCONSUMPTIONBYTRANSPORTATIONINDUSTRY,UN
Consumption In Agriculture,RESIDUALFUELOILCONSUMPTIONINAGRICULTURE,UN
Consumption In Inland And Coastal Waterways,RESIDUALFUELOILCONSUMPTIONININLANDANDCOASTALWATERWAYS,UN
Consumption By Chemical Industry,RESIDUALFUELOILCONSUMPTIONBYCHEMICALINDUSTRY,UN
Consumption By Iron And Steel Industry,RESIDUALFUELOILCONSUMPTIONBYIRONANDSTEELINDUSTRY,UN
Consumption By Households,RESIDUALFUELOILCONSUMPTIONBYHOUSEHOLDS,UN
Consumption In Rail Transport,RESIDUALFUELOILCONSUMPTIONINRAILTRANSPORT,UN
Net Transfers,RESIDUALFUELOILNETTRANSFERS,UN
Net Inland Availability,RESIDUALFUELOILNETINLANDAVAILABILITY,UN
Conversion Transport & Distribution Losses,STEAMANDHOTWATERCONVERSIONTRANSPORTDISTRIBUTIONLOSSES,UN
Consumption By Households And Other Consumers,STEAMANDHOTWATERCONSUMPTIONBYHOUSEHOLDSANDOTHERCONSUMERS,UN
Consumption By Other Consumers,STEAMANDHOTWATERCONSUMPTIONBYOTHERCONSUMERS,UN
Consumption By Households,STEAMANDHOTWATERCONSUMPTIONBYHOUSEHOLDS,UN
Consumption By Industry & Construction,STEAMANDHOTWATERCONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Consumption By Other Industries And Construction,STEAMANDHOTWATERCONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Net Inland Availability,STEAMANDHOTWATERNETINLANDAVAILABILITY,UN
Production At Thermal Power Plants,STEAMANDHOTWATERGROSSPRODUCTIONATTHERMALPOWERPLANTS,UN
Production At Pure Heating Plants,STEAMANDHOTWATERGROSSPRODUCTIONATPUREHEATINGPLANTS,UN
Production,URANIUMPRODUCTION,UN
Estimated Additional Reserves,URANIUMESTIMATEDADDITIONALRESERVES,UN
Production,VEGETALWASTEPRODUCTION,UN
Consumption By Industry & Construction,VEGETALWASTECONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Consumption By Other Industries And Construction,VEGETALWASTECONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Consumption By Households And Other Consumers,VEGETALWASTECONSUMPTIONBYHOUSEHOLDSANDOTHERCONSUMERS,UN
Conversion To Other Forms Of Energy,VEGETALWASTECONVERSIONTOOTHERFORMSOFENERGY,UN
Net Inland Availability,VEGETALWASTENETINLANDAVAILABILITY,UN
Total Production,WHITESPIRITINDUSTRIALSPIRITTOTALPRODUCTION,UN
Production From Refineries,WHITESPIRITINDUSTRIALSPIRITPRODUCTIONFROMREFINERIES,UN
Changes In Stocks,WHITESPIRITINDUSTRIALSPIRITCHANGESINSTOCKS,UN
Consumption For Non-energy Uses,WHITESPIRITINDUSTRIALSPIRITCONSUMPTIONFORNONENERGYUSES,UN
